"","locus","PRS_quantile","count","estimate","se","ci_lower","ci_upper","z","p"
"103","22q11.2_BP1_BP4_A_D_DUP","3","50","0.351079763215257","0.136500633523545","0.0835385215091093","0.618621004921405","2.57200098016175","0.0101134981283898"
"104","22q11.2_BP1_BP4_A_D_DUP","4","55","0.455919512528084","0.133494972674509","0.194269366086047","0.717569658970122","3.41525604593155","0.00063761691133219"
"105","22q11.2_BP2_BP4_B_D_DUP","1","24","0.438782792911341","0.192318087172508","0.061839342053226","0.815726243769456","2.28154719799057","0.0225193588669764"
"106","22q11.2_BP2_BP4_B_D_DUP","2","16","0.0427578849090656","0.240847011485315","-0.429302257602152","0.514818027420283","0.177531307718438","0.859091638514175"
"107","22q11.2_BP2_BP4_B_D_DUP","3","22","0.138655994673849","0.201211880539593","-0.255719291183753","0.533031280531451","0.689104412234572","0.490760065139135"
"108","22q11.2_BP2_BP4_B_D_DUP","4","18","0.466297414732084","0.233291491662213","0.00904609107414733","0.92354873839002","1.99877591509958","0.0456368345970498"
"109","22q11.2_BP3_BP4_C_D_DUP","1","20","0.210199186530409","0.142061229085478","-0.0682408224771291","0.488639195537946","1.47963795529272","0.138974818399888"
"110","22q11.2_BP3_BP4_C_D_DUP","2","14","0.124283208533684","0.170307541520361","-0.209519572846223","0.458085989913591","0.729757516456344","0.465541092070696"
"111","22q11.2_BP3_BP4_C_D_DUP","3","20","0.240289185847534","0.147173229854025","-0.048170344666355","0.528748716361423","1.6326962864501","0.10253781488177"
"112","22q11.2_BP3_BP4_C_D_DUP","4","21","0.196924829583882","0.156529617670964","-0.109873221051207","0.503722880218971","1.25806753069462","0.20837193327258"
"113","22q11.2_BP6_BP8_F_H_DUP","1","40","0.0435823797959195","0.143715027727498","-0.238099074549976","0.325263834141815","0.303255550133263","0.761696104602033"
"114","22q11.2_BP6_BP8_F_H_DUP","2","37","0.00834825411631971","0.158392828042321","-0.302101688846629","0.318798197079269","0.0527060108686812","0.957966314462198"
"115","22q11.2_BP6_BP8_F_H_DUP","3","35","0.0207119163855059","0.160839248286388","-0.294533010255815","0.335956843026827","0.12877401881801","0.897536869489184"
"116","22q11.2_BP6_BP8_F_H_DUP","4","45","-0.0433250872999347","0.147578276723465","-0.332578509677925","0.245928335078056","-0.293573608947326","0.769084698318462"
"117","22q13_DEL","1","10","-0.505796366492685","0.297896004460765","-1.08967253523578","0.0780798022504141","-1.69789577207741","0.0895323013927529"
"118","22q13_DEL","2","12","-0.346719781903338","0.278050531469063","-0.891698823582702","0.198259259776027","-1.24696680157907","0.212414241214119"
"119","22q13_DEL","3","16","-0.0320513254571939","0.241238356559341","-0.504878504313502","0.440775853399114","-0.132861647352956","0.894303217168847"
"120","22q13_DEL","4","18","0.191521055564167","0.233293172171642","-0.26573356189225","0.648775673020584","0.82094582443784","0.41168019122356"
"121","2q13_NPHP1_DEL","1","540","0.0220286715129663","0.0403058402256559","-0.0569707753293193","0.101028118355252","0.546537955532914","0.584698111888029"
"122","2q13_NPHP1_DEL","2","473","-0.0078566326808867","0.0437708151648522","-0.0936474304039969","0.0779341650422235","-0.17949477640059","0.857549787694485"
"123","2q13_NPHP1_DEL","3","488","0.0473428601354582","0.0434461915638505","-0.0378116753296887","0.132497395600605","1.08968953161018","0.275854037402225"
"124","2q13_NPHP1_DEL","4","466","0.0325059458259372","0.0457201497443169","-0.0571055476729238","0.122117439324798","0.710976363982224","0.477101478637363"
"125","2q13_NPHP1_DUP","1","187","-0.0882168211157867","0.0686256844543728","-0.222723162646357","0.0462895204147839","-1.28547819693426","0.198629886815431"
"126","2q13_NPHP1_DUP","2","189","0.011894443570303","0.0697957009132712","-0.124905130219708","0.148694017360315","0.170417997307358","0.864681958913317"
"127","2q13_NPHP1_DUP","3","199","0.0223392964906651","0.0679892947605531","-0.110919721240019","0.155598314221349","0.328570792936452","0.742481203692895"
"128","2q13_NPHP1_DUP","4","196","0.00599602485236834","0.0699171108318129","-0.131041512377985","0.143033562082722","0.0857590478358281","0.93165823036434"
